url,title,channel,decision,total_score,visual_quality_score,audio_quality_score,context_score,reject_reasons
https://www.youtube.com/watch?v=AWJxm8noyy0,TOMÁS MAZZA (Y ALONSO) Y LA PEOR ENTREVISTA DE SU VIDA - ENTRE DOS SUCULENTAS #29,Matias Bottero,reject,77.06,61.25,96.13,88.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_interview|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable
https://www.youtube.com/watch?v=KwkcN7sjhjc,"Conferencia internacional UNSAM- The New School: “Estado, Educación y Desarrollo con Inclusión”",UNSAM National University of San Martín Argentina,reject,65.59,42.19,82.97,98.0,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|face_detect_rate_bajo|formato_educational|formato_largo|fuente_argentina_probable|perfil_extremo_proxy|speaker_count_usable
https://www.youtube.com/watch?v=anxzhg7NxUA,99dosmil - Todo el Día Pensando (Video Oficial),99dosmil,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_menor_a_480s
https://www.youtube.com/watch?v=KS4dCIP4JrE,¡Gaspi va a la heladería!,Bat Flicks & Ink,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_menor_a_480s
https://www.youtube.com/watch?v=3DU520MCIO4,VUELAPELUCAS 3000: Encuentro de Artistas en La Pampa - EN EL VACÍO PODCAST,EN EL VACÍO,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok
https://www.youtube.com/watch?v=7o3kTnxB664,En Vilo #115 con Ta'crack,EN VILO,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples
https://www.youtube.com/watch?v=m6jfZa00vkY,"ESTOY FUERA | Corto ganador 1er premio concurso ""Hacé cine"" ECU.",Ismael Krall,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_menor_a_480s
https://www.youtube.com/watch?v=Gdi-M-RwNao,1 Hombre Construido vs 7 Mujeres Modernas | Rodeados con Matías Laca,La Cruda Verdad Podcast,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:musica
https://www.youtube.com/watch?v=0lJ1Y6xyxsY,VALE ACEVEDO En La Pileta De Blest - APÓSTROFE LIVE MUSIC SESSIONS,Apóstrofe,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples
https://www.youtube.com/watch?v=vlejYMsa00Y,PROHIBIDO DORMIR: 5 Horas de Relatos Reales SIN INTERRUPCIONES (Especial de Colección),PARANORMAL AND UFOs,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_mayor_a_14400s
